ID,Description,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,refId,sfxVariationId,stamina,mp,category,heroPoint
0,"何もしない",0,65537,5,0,1073741824,1053609165,1114636288,1065353216,0,0
1000,"蛇兵士",50,65539,5,0,1073741824,1058642330,1114636288,1065353216,0,0
1100,"肉をなめるヘビ兵士",50,65537,5,0,1073741824,1058642330,1114636288,1065353216,0,0
1001,"蛇弓兵士（砦外　0000）",51,65556,5,0,1073741824,1058642330,1114636288,1065353216,0,0
1002,"蛇弓兵士（砦やぐら　0001　0002）",51,65556,5,0,1073741824,1058642330,1114636288,1065353216,0,0
1003,"蛇弓兵士（砦出窓　0003）",51,65586,5,0,1073741824,1058642330,1114636288,1065353216,0,0
1004,"蛇弓兵士（溶岩広場）",51,65586,5,0,1073741824,1058642330,1114636288,1065353216,0,0
1020,"プロトドラゴンデーモン",200,65538,7,0,1120403456,1053609165,1114636288,1065353216,0,0
1040,"ワニ",10,65538,6,0,1073741824,1061997773,1114636288,1065353216,0,0
100,"騎士",50,65586,5,0,1073741824,1056964608,1114636288,1065353216,0,0
200,"隠密",50,65571,5,0,1073741824,1056964608,1114636288,1065353216,0,0
300,"腐敗ヒト",50,65561,5,0,1065353216,1056964608,1114636288,1065353216,0,0
900,"インターン用ザコ敵",50,65539,5,0,1073741824,1058642330,1114636288,1065353216,0,0
901,"インターン用普通敵",50,131077,5,0,1073741824,1058642330,1114636288,1065353216,0,0
902,"インターン用ボス敵",50,196618,5,0,1073741824,1058642330,1114636288,1065353216,0,0
2020,"騎士【仮】",50,65636,5,0,1073741824,1056964608,1120403456,1065353216,0,0
2030,"隠密【仮】",50,65616,5,0,1073741824,1056964608,1114636288,1065353216,0,0
2100,"腐敗ヒト【仮】",50,65586,5,0,1069547520,1056964608,1114636288,1065353216,0,0
3070,"ナメクジ【仮】",50,65546,5,0,1069547520,1056964608,1114636288,1065353216,0,0
1200,"疫病ネズミ",50,65538,5,0,1065353216,1056964608,1114636288,1065353216,0,0
9051,"テストマップ用待機敵",0,65537,5,0,1065353216,1065353216,1114636288,1065353216,0,0
9000,"プロトタイプデブ中ボス",100,1966180,5,0,1084227584,1067030938,1114636288,1065353216,0,0
