ID,Description,camDistTarget,rotRangeMinX,lockRotXShiftRatio,chrOrgOffset_Y,chrLockRangeMaxRadius,camFovY,chrLockRangeMaxRadius_forD,chrLockRangeMaxRadius_forPD
0,"デフォルト値",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
1,"弾丸発生源タイプ「射出者のターゲットから発生」用",4.0,-40.0,0.6000000238418579,1.4199999570846558,30.0,43.0,-1.0,-1.0
10,"SPテンプレ",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2100,"vs拠点老人（覚醒）　通常",4.0,-15.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2101,"vs拠点老人（覚醒）　近距離",3.799999952316284,-20.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
2105,"vs悪夢を継ぐもの　通常",4.0,-15.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2106,"vs悪夢を継ぐもの　近距離",3.799999952316284,-20.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
2200,"vsアイコレクター　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2201,"vsアイコレクター　全距離",4.5,-40.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2300,"vs血に渇いた獣　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2301,"vs血に渇いた獣　全距離",4.0,-40.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2305,"vs嵐の獣（骨）　通常",4.199999809265137,-20.0,0.4000000059604645,1.5199999809265137,22.0,43.0,9.0,5.0
2306,"vs嵐の獣（骨）　近距離",4.5,0.0,0.30000001192092896,1.5199999809265137,22.0,48.0,9.0,5.0
2400,"vs聖女ビースト　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2401,"vs聖女ビースト　全距離",4.0,-10.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
2410,"vs教区長　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2411,"vs教区長　近距離",4.0,-15.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
2415,"vsガスコイン神父　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2416,"vsガスコイン神父　全距離",4.0,-40.0,0.20000000298023224,1.4199999570846558,22.0,43.0,9.0,5.0
2420,"vs月からの使者たち　通常",4.5,-10.0,0.3499999940395355,1.5199999809265137,22.0,43.0,9.0,5.0
2421,"vs月からの使者たち　近距離",4.5,-15.0,0.8500000238418579,1.5199999809265137,22.0,43.0,9.0,5.0
2425,"vs月の落とし子　通常",4.0,-10.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
2426,"vs月の落とし子　流星魔法時",6.0,-40.0,0.15000000596046448,1.6200000047683716,22.0,43.0,9.0,5.0
2500,"vs王の死神　通常",4.0,-40.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2501,"vs王の死神　大魔法時",4.0,-25.0,0.15000000596046448,1.4199999570846558,22.0,43.0,9.0,5.0
2600,"vs悪夢の主　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2601,"vs悪夢の主",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2605,"vsレッサーデーモン（死と闇）　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2606,"vsレッサーデーモン（死と闇）",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2700,"vs闇の旅団　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2701,"vs闇の旅団　全距離",3.700000047683716,-40.0,0.3499999940395355,1.3200000524520874,22.0,43.0,9.0,5.0
2800,"vsなりそこないの邪神　通常",4.0,-40.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
2801,"vsなりそこないの邪神　近距離",5.0,-25.0,0.44999998807907104,1.6200000047683716,22.0,43.0,9.0,5.0
2900,"vsダンジョンボス デフォルト",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2901,"vsダンジョンボス デフォルト近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2902,"vsダンジョンボス 普通の部屋B",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2903,"vsダンジョンボス 普通の部屋B　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2904,"vsダンジョンボス 段差部屋A",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2905,"vsダンジョンボス 段差部屋A　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2906,"vsダンジョンボス 太い通路",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2907,"vsダンジョンボス 太い通路　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2908,"vsダンジョンボス 中下段太い通路",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2909,"vsダンジョンボス 中下段太い通路　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2910,"vsダンジョンボス 丸い部屋：大",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2911,"vsダンジョンボス 丸い部屋：大　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2912,"vsダンジョンボス 丸い部屋：小",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2913,"vsダンジョンボス 丸い部屋：小　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2914,"vsダンジョンボス ボス部屋1",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2915,"vsダンジョンボス ボス部屋1　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2916,"vsダンジョンボス 円形ボス部屋",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2917,"vsダンジョンボス 円形ボス部屋　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
2918,"vsダンジョンボス 大ボス部屋",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
2919,"vsダンジョンボス 大ボス部屋　近距離",4.0,-30.0,0.3499999940395355,1.4199999570846558,22.0,43.0,9.0,5.0
3200,"vs白痴の蜘蛛　通常",4.0,-40.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
3201,"vs白痴の蜘蛛　全距離",4.0,-40.0,0.15000000596046448,1.4199999570846558,22.0,43.0,9.0,5.0
3300,"vs邪神　通常",4.0,-20.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
3301,"vs邪神　近距離",4.0,-15.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
3400,"vsルドウイーク　獣モード or 人モード遠距離",4.199999809265137,-15.0,0.25,1.4199999570846558,22.0,43.0,9.0,5.0
3401,"vsルドウイーク　人モード近距離",6.199999809265137,-15.0,0.05000000074505806,2.2200000286102295,22.0,43.0,9.0,5.0
3500,"vs女ハンター　通常",4.199999809265137,-40.0,0.4000000059604645,1.4199999570846558,22.0,43.0,9.0,5.0
3501,"vs女ハンター　近距離",3.75,-20.0,0.44999998807907104,1.4199999570846558,22.0,43.0,9.0,5.0
3505,"vs患者B　通常",5.199999809265137,-15.0,0.11999999731779099,1.8200000524520874,22.0,43.0,9.0,5.0
3506,"vs患者B　近距離",5.199999809265137,-15.0,0.18000000715255737,1.8200000524520874,22.0,43.0,9.0,5.0
3600,"vsラスボス　通常",3.700000047683716,-40.0,0.3499999940395355,1.3200000524520874,22.0,43.0,9.0,5.0
3601,"vsラスボス　空中時",5.0,-60.0,0.05000000074505806,1.9199999570846558,30.0,48.0,9.0,5.0
5000,"ダンジョン下段通路",4.0,-40.0,0.0,1.4199999570846558,22.0,43.0,9.0,5.0
10000,"近距離カメラ",2.200000047683716,-40.0,0.44999998807907104,1.2200000286102295,15.0,43.0,-1.0,-1.0
10001,"中距離カメラ",3.200000047683716,-40.0,0.44999998807907104,1.149999976158142,15.0,43.0,-1.0,-1.0
